GEOID,gross_sq_ft,amenity_category,NAME,population_total,white/non_hispanic,gini_index,median_income,poverty_denominator,poverty_count,transit_commuters,state,county,tract,year,%_white_nonhisp,poverty_rate,gross_sq_ft_std,gini_index_std,white/non_hispanic_std,poverty_count_std,transit_commuters_std,population_total_std,index_score
06075012405,231000.0,Public Services,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,2.188501308401383,0.024567058611972836,-0.4140688074257239,0.3375576605706021,0.766496612253159,-0.43101603790296816,0.6437742974842625
06075012405,114789.0,Infrastructure,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,0.6592961524052204,0.004454610338211875,-0.4438951298042725,0.1527149240027294,1.1259357460853114,-0.015194515728867661,0.30535997276881666
06075012405,376000.0,Public Services,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,3.9124738576024125,0.024567058611972836,-0.4140688074257239,0.3375576605706021,0.766496612253159,-0.43101603790296816,1.1609660622445714
06075012405,255234.0,Public Services,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,2.4766306239692297,0.024567058611972836,-0.4140688074257239,0.3375576605706021,0.766496612253159,-0.43101603790296816,0.7302130921546165
06075012405,61569.0,Public Services,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,0.17405721885876513,0.024567058611972836,-0.4140688074257239,0.3375576605706021,0.766496612253159,-0.43101603790296816,0.0394410706214772
06075012405,4186.0,Commercial,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,-1.383030761020952,0.38928064298076004,-0.052516951037990894,0.6654202172375366,1.0502929741998877,-0.12178952886550437,-0.19793762329611106
06075012405,185000.0,Recreational,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,5.955332212614933,0.24896672520753482,-0.3161202316563993,0.08222807780347918,1.047511174305649,-0.1628014703264172,1.9052044237878882
06075012405,516484.0,Infrastructure,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,4.428082710198231,0.004454610338211875,-0.4438951298042725,0.1527149240027294,1.1259357460853114,-0.015194515728867661,1.4359959401067195
06075012405,15950.0,Commercial,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,2.756801971822341,0.38928064298076004,-0.052516951037990894,0.6654202172375366,1.0502929741998877,-0.12178952886550437,1.0440121965568767
06075012405,3471.0,Public Services,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,-0.5166969684755893,0.024567058611972836,-0.4140688074257239,0.3375576605706021,0.766496612253159,-0.43101603790296816,-0.16778518557882913
06075012405,695.0,Infrastructure,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,-0.4111576334891413,0.004454610338211875,-0.4438951298042725,0.1527149240027294,1.1259357460853114,-0.015194515728867661,-0.01577616299949185
06075012405,15000.0,Public Services,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,-0.37962331661532267,0.024567058611972836,-0.4140688074257239,0.3375576605706021,0.766496612253159,-0.43101603790296816,-0.12666309002074913
06075012405,104000.0,Public Services,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,0.6785391446184126,0.024567058611972836,-0.4140688074257239,0.3375576605706021,0.766496612253159,-0.43101603790296816,0.1907856483493714
06075012405,12570.0,Infrastructure,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,-0.29974389825770453,0.004454610338211875,-0.4438951298042725,0.1527149240027294,1.1259357460853114,-0.015194515728867661,0.01764795756993921
06075012405,113437.0,Infrastructure,"Census Tract 124.05, San Francisco County, California",3381.0,1169.0,0.4716,113975.0,3057.0,303.0,1002.0,06,075,012405,2020,0.34575569358178054,0.09911678115799803,0.6466114054550813,0.004454610338211875,-0.4438951298042725,0.1527149240027294,1.1259357460853114,-0.015194515728867661,0.30155454868377496
06075033002,1134.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.1999281542974884,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.17163378695104126
06075033002,3680.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.11469601298719162,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.19720342934413027
06075033002,62087.0,Public Services,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,0.1802159621724626,0.7253625897215991,-0.27552635306143247,0.8293952626741647,-0.042400250456372315,-0.013607853370890087,0.15392837904183812
06075033002,4226.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.09641763547131495,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.20268694259889325
06075033002,500.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.22115249742031956,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.16526648401419186
06075033002,500.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.22115249742031956,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.16526648401419186
06075033002,12900.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,0.19396083810508497,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.28980048467181324
06075033002,1200.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.19771868009227253,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.17229662921260597
06075033002,1242.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.19631265105258972,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.17271843792451086
06075033002,1830.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.1766282444970302,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.17862375989117868
06075033002,500.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.22115249742031956,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.16526648401419186
06075033002,500.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.22115249742031956,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.16526648401419186
06075033002,1200.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.19771868009227253,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.17229662921260597
06075033002,1200.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.19771868009227253,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.17229662921260597
06075033002,500.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.22115249742031956,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.16526648401419186
06075033002,672.0,Recreational,"Census Tract 330.02, San Francisco County, California",3986.0,1288.0,0.431,152723.0,3908.0,172.0,711.0,06,075,033002,2020,0.32313095835423983,0.044012282497441144,-0.21539447373399945,0.9138565446157734,-0.18468640775929912,0.6557652720273126,0.27454656255668125,0.241332323634744,0.1669938911200879
06075015801,20590.0,Public Services,"Census Tract 158.01, San Francisco County, California",3432.0,1412.0,0.4911,93646.0,3432.0,223.0,845.0,06,075,015801,2020,0.4114219114219114,0.06497668997668998,-0.31316120247715884,-0.3120219280047187,-0.13116278716922963,0.637916501549877,0.33008146639269026,-0.3958295628432392,-0.15818393555149035
06075015801,50400.0,Public Services,"Census Tract 158.01, San Francisco County, California",3432.0,1412.0,0.4911,93646.0,3432.0,223.0,845.0,06,075,015801,2020,0.4114219114219114,0.06497668997668998,0.04126377470685965,-0.3120219280047187,-0.13116278716922963,0.637916501549877,0.33008146639269026,-0.3958295628432392,-0.05185644239628482
06075015801,500.0,Recreational,"Census Tract 158.01, San Francisco County, California",3432.0,1412.0,0.4911,93646.0,3432.0,223.0,845.0,06,075,015801,2020,0.4114219114219114,0.06497668997668998,-0.22115249742031956,-0.07037690726686466,-0.04773015428669053,0.4324797994668889,0.6304821569702953,-0.12873399348010445,0.006387706363738702
06075015801,50400.0,Public Services,"Census Tract 158.01, San Francisco County, California",3432.0,1412.0,0.4911,93646.0,3432.0,223.0,845.0,06,075,015801,2020,0.4114219114219114,0.06497668997668998,0.04126377470685965,-0.3120219280047187,-0.13116278716922963,0.637916501549877,0.33008146639269026,-0.3958295628432392,-0.05185644239628482
06075015801,33117.0,Public Services,"Census Tract 158.01, San Francisco County, California",3432.0,1412.0,0.4911,93646.0,3432.0,223.0,845.0,06,075,015801,2020,0.4114219114219114,0.06497668997668998,-0.16422186369204647,-0.3120219280047187,-0.13116278716922963,0.637916501549877,0.33008146639269026,-0.3958295628432392,-0.11350213391595665
06075015801,143237.0,Public Services,"Census Tract 158.01, San Francisco County, California",3432.0,1412.0,0.4911,93646.0,3432.0,223.0,845.0,06,075,015801,2020,0.4114219114219114,0.06497668997668998,1.1450461164322112,-0.3120219280047187,-0.13116278716922963,0.637916501549877,0.33008146639269026,-0.3958295628432392,0.2792782601213206
06075015801,8187.75,Commercial,"Census Tract 158.01, San Francisco County, California",3432.0,1412.0,0.4911,93646.0,3432.0,223.0,845.0,06,075,015801,2020,0.4114219114219114,0.06497668997668998,0.025212662870211424,-0.04625208691404265,0.3401482521076026,0.8876900184024757,0.4783993431615674,-0.07236300919329697,0.15332002419579693
06075010500,8000.0,Infrastructure,"Census Tract 105, San Francisco County, California",3151.0,1673.0,0.4692,150955.0,3151.0,437.0,331.0,06,075,010500,2020,0.5309425579181213,0.1386861313868613,-0.3426205946794027,0.04548359359085046,0.30194670810223323,-0.37117938217877583,-0.8808935195704293,-0.17080129426723817,-0.23552488904780908
06075010500,22186.0,Infrastructure,"Census Tract 105, San Francisco County, California",3151.0,1673.0,0.4692,150955.0,3151.0,437.0,331.0,06,075,010500,2020,0.5309425579181213,0.1386861313868613,-0.209524573795768,0.04548359359085046,0.30194670810223323,-0.37117938217877583,-0.8808935195704293,-0.17080129426723817,-0.19559608278271867
06075010500,1576.0,Infrastructure,"Census Tract 105, San Francisco County, California",3151.0,1673.0,0.4692,150955.0,3151.0,437.0,331.0,06,075,010500,2020,0.5309425579181213,0.1386861313868613,-0.402891907111129,0.04548359359085046,0.30194670810223323,-0.37117938217877583,-0.8808935195704293,-0.17080129426723817,-0.25360628277732694
06075010500,43200.0,Infrastructure,"Census Tract 105, San Francisco County, California",3151.0,1673.0,0.4692,150955.0,3151.0,437.0,331.0,06,075,010500,2020,0.5309425579181213,0.1386861313868613,-0.012366827930217504,0.04548359359085046,0.30194670810223323,-0.37117938217877583,-0.8808935195704293,-0.17080129426723817,-0.13644875902305353
06075010500,2925.0,Infrastructure,"Census Tract 105, San Francisco County, California",3151.0,1673.0,0.4692,150955.0,3151.0,437.0,331.0,06,075,010500,2020,0.5309425579181213,0.1386861313868613,-0.3902353067888378,0.04548359359085046,0.30194670810223323,-0.37117938217877583,-0.8808935195704293,-0.17080129426723817,-0.2498093026806396
06075010500,4644.0,Infrastructure,"Census Tract 105, San Francisco County, California",3151.0,1673.0,0.4692,150955.0,3151.0,437.0,331.0,06,075,010500,2020,0.5309425579181213,0.1386861313868613,-0.37410728903196705,0.04548359359085046,0.30194670810223323,-0.37117938217877583,-0.8808935195704293,-0.17080129426723817,-0.24497089735357838
06075010500,11800.0,Infrastructure,"Census Tract 105, San Francisco County, California",3151.0,1673.0,0.4692,150955.0,3151.0,437.0,331.0,06,075,010500,2020,0.5309425579181213,0.1386861313868613,-0.3069681994053429,0.04548359359085046,0.30194670810223323,-0.37117938217877583,-0.8808935195704293,-0.17080129426723817,-0.22482917046559114
06075010500,8000.0,Infrastructure,"Census Tract 105, San Francisco County, California",3151.0,1673.0,0.4692,150955.0,3151.0,437.0,331.0,06,075,010500,2020,0.5309425579181213,0.1386861313868613,-0.3426205946794027,0.04548359359085046,0.30194670810223323,-0.37117938217877583,-0.8808935195704293,-0.17080129426723817,-0.23552488904780908
06075010500,100567.0,Infrastructure,"Census Tract 105, San Francisco County, California",3151.0,1673.0,0.4692,150955.0,3151.0,437.0,331.0,06,075,010500,2020,0.5309425579181213,0.1386861313868613,0.5258623719874106,0.04548359359085046,0.30194670810223323,-0.37117938217877583,-0.8808935195704293,-0.17080129426723817,0.025020000952234896
