NAME,population_total,white/non_hispanic,gini_index,median_income,poverty_denominator,poverty_count,transit_commuters,state,county,tract,GEOID,year,%_white_nonhisp,poverty_rate
"Census Tract 103, San Francisco County, California",4387.0,2319.0,0.5614,87721.0,4387.0,697.0,768.0,06,075,010300,06075010300,2015,0.5286072486893093,0.1588785046728972
"Census Tract 110, San Francisco County, California",5085.0,2249.0,0.466,109090.0,5085.0,273.0,1412.0,06,075,011000,06075011000,2015,0.44228121927236974,0.05368731563421829
"Census Tract 154, San Francisco County, California",6080.0,3687.0,0.4809,112472.0,6070.0,340.0,1101.0,06,075,015400,06075015400,2015,0.6064144736842105,0.05601317957166392
"Census Tract 104, San Francisco County, California",5148.0,2995.0,0.4978,103328.0,5136.0,406.0,754.0,06,075,010400,06075010400,2015,0.5817793317793318,0.07904984423676012
"Census Tract 255, San Francisco County, California",9303.0,1802.0,0.4532,92216.0,9229.0,663.0,1385.0,06,075,025500,06075025500,2015,0.19370095668064066,0.07183876909741034
"Census Tract 256, San Francisco County, California",5648.0,921.0,0.4416,73452.0,5648.0,355.0,764.0,06,075,025600,06075025600,2015,0.16306657223796034,0.06285410764872522
"Census Tract 258, San Francisco County, California",2035.0,229.0,0.4185,56250.0,2024.0,522.0,341.0,06,075,025800,06075025800,2015,0.11253071253071253,0.25790513833992096
"Census Tract 260.01, San Francisco County, California",5751.0,598.0,0.4641,60938.0,5751.0,808.0,1122.0,06,075,026001,06075026001,2015,0.10398191618848895,0.14049730481655365
"Census Tract 451, San Francisco County, California",4964.0,2329.0,0.5203,82755.0,4964.0,898.0,1497.0,06,075,045100,06075045100,2015,0.4691780821917808,0.18090249798549557
"Census Tract 452, San Francisco County, California",7259.0,3451.0,0.478,72431.0,7247.0,1187.0,1431.0,06,075,045200,06075045200,2015,0.47540983606557374,0.16379191389540498
"Census Tract 261, San Francisco County, California",6934.0,557.0,0.4513,62652.0,6900.0,801.0,1345.0,06,075,026100,06075026100,2015,0.08032881453706374,0.11608695652173913
"Census Tract 233, San Francisco County, California",3218.0,241.0,0.4719,65096.0,3208.0,354.0,467.0,06,075,023300,06075023300,2015,0.07489123679303915,0.11034912718204488
"Census Tract 253, San Francisco County, California",4574.0,2433.0,0.4727,93900.0,4496.0,486.0,1204.0,06,075,025300,06075025300,2015,0.5319195452557937,0.10809608540925267
"Census Tract 254.01, San Francisco County, California",3309.0,1512.0,0.421,88462.0,3251.0,298.0,635.0,06,075,025401,06075025401,2015,0.45693563009972804,0.09166410335281452
"Census Tract 263.01, San Francisco County, California",4750.0,699.0,0.4675,56531.0,4733.0,641.0,727.0,06,075,026301,06075026301,2015,0.1471578947368421,0.13543207268117474
"Census Tract 263.02, San Francisco County, California",4785.0,689.0,0.3444,72666.0,4785.0,359.0,648.0,06,075,026302,06075026302,2015,0.1439916405433647,0.07502612330198537
"Census Tract 263.03, San Francisco County, California",5218.0,641.0,0.4062,75096.0,5155.0,617.0,684.0,06,075,026303,06075026303,2015,0.12284400153315446,0.11968962172647915
"Census Tract 305, San Francisco County, California",2820.0,1369.0,0.4242,107824.0,2274.0,131.0,293.0,06,075,030500,06075030500,2015,0.4854609929078014,0.05760773966578716
"Census Tract 311, San Francisco County, California",6616.0,2965.0,0.4014,103838.0,6616.0,467.0,1206.0,06,075,031100,06075031100,2015,0.4481559854897219,0.07058645707376059
"Census Tract 178.02, San Francisco County, California",4539.0,1831.0,0.5086,70057.0,4529.0,1011.0,716.0,06,075,017802,06075017802,2015,0.40339281780127784,0.22322808567012586
"Census Tract 204.01, San Francisco County, California",3139.0,2335.0,0.4325,139460.0,3113.0,104.0,597.0,06,075,020401,06075020401,2015,0.7438674737177445,0.033408287825248954
"Census Tract 204.02, San Francisco County, California",4490.0,3112.0,0.4524,86952.0,4490.0,224.0,679.0,06,075,020402,06075020402,2015,0.6930957683741648,0.049888641425389756
"Census Tract 227.04, San Francisco County, California",3250.0,2216.0,0.4444,134726.0,3250.0,168.0,378.0,06,075,022704,06075022704,2015,0.6818461538461539,0.05169230769230769
"Census Tract 257.01, San Francisco County, California",5074.0,672.0,0.5334,78708.0,5009.0,627.0,691.0,06,075,025701,06075025701,2015,0.13243988963342532,0.12517468556598124
"Census Tract 257.02, San Francisco County, California",4911.0,337.0,0.4251,60836.0,4906.0,637.0,657.0,06,075,025702,06075025702,2015,0.06862146202402769,0.1298410110069303
"Census Tract 312.01, San Francisco County, California",7110.0,1119.0,0.4288,74010.0,7079.0,1025.0,1422.0,06,075,031201,06075031201,2015,0.15738396624472573,0.14479446249470265
"Census Tract 312.02, San Francisco County, California",3213.0,379.0,0.3762,74576.0,3198.0,432.0,607.0,06,075,031202,06075031202,2015,0.11795829442888267,0.1350844277673546
"Census Tract 313.01, San Francisco County, California",4594.0,751.0,0.4599,95449.0,4594.0,495.0,583.0,06,075,031301,06075031301,2015,0.1634740966478015,0.10774923813670004
"Census Tract 119.01, San Francisco County, California",2561.0,1376.0,0.5026,59981.0,2278.0,328.0,367.0,06,075,011901,06075011901,2015,0.5372901210464662,0.14398595258999122
"Census Tract 119.02, San Francisco County, California",2786.0,1316.0,0.4659,66352.0,2786.0,533.0,432.0,06,075,011902,06075011902,2015,0.4723618090452261,0.19131371141421394
"Census Tract 122.01, San Francisco County, California",4845.0,1776.0,0.4796,41677.0,4845.0,1144.0,1063.0,06,075,012201,06075012201,2015,0.36656346749226004,0.23611971104231166
"Census Tract 122.02, San Francisco County, California",3295.0,1166.0,0.5648,29896.0,3295.0,977.0,575.0,06,075,012202,06075012202,2015,0.35386949924127464,0.2965098634294385
"Census Tract 123.01, San Francisco County, California",1996.0,614.0,0.4641,13909.0,1996.0,853.0,346.0,06,075,012301,06075012301,2015,0.3076152304609218,0.4273547094188377
"Census Tract 123.02, San Francisco County, California",2468.0,960.0,0.5464,34189.0,2427.0,653.0,494.0,06,075,012302,06075012302,2015,0.3889789303079417,0.26905644829007
"Census Tract 124.01, San Francisco County, California",4787.0,1335.0,0.4813,20332.0,4783.0,1318.0,1324.0,06,075,012401,06075012401,2015,0.2788803008147065,0.27555927242316536
"Census Tract 124.02, San Francisco County, California",3600.0,1409.0,0.5512,38333.0,3290.0,856.0,1099.0,06,075,012402,06075012402,2015,0.3913888888888889,0.2601823708206687
"Census Tract 125.01, San Francisco County, California",3728.0,986.0,0.4547,16902.0,3649.0,1356.0,708.0,06,075,012501,06075012501,2015,0.2644849785407725,0.3716086599068238
"Census Tract 125.02, San Francisco County, California",4101.0,616.0,0.5166,11925.0,3929.0,1778.0,738.0,06,075,012502,06075012502,2015,0.1502072665203609,0.4525324510053449
"Census Tract 126.01, San Francisco County, California",2334.0,1735.0,0.4338,101875.0,2334.0,47.0,551.0,06,075,012601,06075012601,2015,0.7433590402742074,0.020137103684661525
"Census Tract 126.02, San Francisco County, California",2943.0,2437.0,0.4304,128750.0,2943.0,132.0,595.0,06,075,012602,06075012602,2015,0.8280665987088005,0.04485219164118247
"Census Tract 129.01, San Francisco County, California",2587.0,2008.0,0.4354,124056.0,2575.0,89.0,861.0,06,075,012901,06075012901,2015,0.7761886354851179,0.0345631067961165
"Census Tract 129.02, San Francisco County, California",3537.0,2548.0,0.424,103810.0,3455.0,304.0,1186.0,06,075,012902,06075012902,2015,0.7203845066440486,0.08798842257597685
"Census Tract 131.01, San Francisco County, California",4071.0,2749.0,0.4389,124043.0,3995.0,183.0,1202.0,06,075,013101,06075013101,2015,0.6752640628838124,0.0458072590738423
"Census Tract 131.02, San Francisco County, California",2823.0,2261.0,0.5263,102333.0,2782.0,182.0,563.0,06,075,013102,06075013102,2015,0.8009210060219625,0.06542056074766354
"Census Tract 158.01, San Francisco County, California",3997.0,1399.0,0.4894,71339.0,3897.0,833.0,777.0,06,075,015801,06075015801,2015,0.35001250938203654,0.21375416987426224
"Census Tract 158.02, San Francisco County, California",3081.0,1933.0,0.5562,81250.0,3069.0,304.0,901.0,06,075,015802,06075015802,2015,0.6273937033430704,0.09905506679700228
"Census Tract 168.01, San Francisco County, California",3558.0,2186.0,0.4902,94659.0,3544.0,351.0,956.0,06,075,016801,06075016801,2015,0.6143901068015739,0.09904063205417607
"Census Tract 168.02, San Francisco County, California",3011.0,1708.0,0.4859,76563.0,3011.0,393.0,922.0,06,075,016802,06075016802,2015,0.5672534041846563,0.13052142145466622
"Census Tract 171.01, San Francisco County, California",3733.0,2990.0,0.4881,126591.0,3733.0,157.0,933.0,06,075,017101,06075017101,2015,0.8009643718189124,0.04205732654701313
"Census Tract 171.02, San Francisco County, California",3764.0,2908.0,0.4751,121500.0,3730.0,366.0,1165.0,06,075,017102,06075017102,2015,0.7725823591923485,0.09812332439678284
"Census Tract 178.01, San Francisco County, California",3115.0,863.0,0.7015,16837.0,3103.0,1141.0,352.0,06,075,017801,06075017801,2015,0.2770465489566613,0.367708669029971
"Census Tract 160, San Francisco County, California",2554.0,1231.0,0.5507,56458.0,2554.0,319.0,527.0,06,075,016000,06075016000,2015,0.48198903680501176,0.12490211433046201
"Census Tract 105, San Francisco County, California",2589.0,1307.0,0.537,105000.0,2589.0,244.0,154.0,06,075,010500,06075010500,2015,0.5048281189648512,0.09424488219389726
"Census Tract 113, San Francisco County, California",2885.0,538.0,0.6293,24781.0,2849.0,666.0,325.0,06,075,011300,06075011300,2015,0.18648180242634316,0.23376623376623376
"Census Tract 152, San Francisco County, California",4300.0,2734.0,0.4523,91265.0,4209.0,506.0,875.0,06,075,015200,06075015200,2015,0.6358139534883721,0.12021857923497267
"Census Tract 177, San Francisco County, California",1763.0,726.0,0.4901,78712.0,1763.0,317.0,358.0,06,075,017700,06075017700,2015,0.41179807146908676,0.17980714690867838
"Census Tract 227.02, San Francisco County, California",2342.0,1515.0,0.3981,164135.0,2295.0,104.0,429.0,06,075,022702,06075022702,2015,0.6468830059777968,0.04531590413943355
"Census Tract 228.01, San Francisco County, California",5252.0,2162.0,0.4507,109141.0,5213.0,593.0,1185.0,06,075,022801,06075022801,2015,0.41165270373191165,0.11375407634759256
"Census Tract 231.03, San Francisco County, California",2922.0,91.0,0.4461,19618.0,2922.0,1149.0,136.0,06,075,023103,06075023103,2015,0.031143052703627654,0.3932238193018481
"Census Tract 259, San Francisco County, California",4249.0,943.0,0.4312,87188.0,4249.0,268.0,521.0,06,075,025900,06075025900,2015,0.2219345728406684,0.06307366439162156
"Census Tract 260.03, San Francisco County, California",4976.0,635.0,0.4184,59792.0,4968.0,320.0,810.0,06,075,026003,06075026003,2015,0.12761254019292603,0.0644122383252818
"Census Tract 176.01, San Francisco County, California",7208.0,1987.0,0.6794,23757.0,7208.0,2027.0,1356.0,06,075,017601,06075017601,2015,0.27566592674805773,0.28121531631520535
"Census Tract 201, San Francisco County, California",5548.0,1576.0,0.5744,36951.0,5544.0,1566.0,1314.0,06,075,020100,06075020100,2015,0.28406633020908434,0.2824675324675325
"Census Tract 206, San Francisco County, California",4661.0,3478.0,0.5176,133750.0,4661.0,390.0,1258.0,06,075,020600,06075020600,2015,0.7461918043338339,0.0836730315382965
"Census Tract 209, San Francisco County, California",4774.0,1713.0,0.5234,50078.0,4754.0,840.0,1274.0,06,075,020900,06075020900,2015,0.3588186007540846,0.1766933108960875
"Census Tract 218, San Francisco County, California",4144.0,3039.0,0.4332,123646.0,4144.0,230.0,808.0,06,075,021800,06075021800,2015,0.7333494208494209,0.0555019305019305
"Census Tract 226, San Francisco County, California",1889.0,1143.0,0.3742,176875.0,1889.0,46.0,520.0,06,075,022600,06075022600,2015,0.6050820539968237,0.024351508734780307
"Census Tract 231.02, San Francisco County, California",4667.0,246.0,0.5081,31434.0,4651.0,2007.0,558.0,06,075,023102,06075023102,2015,0.052710520677094495,0.4315201032036121
"Census Tract 251, San Francisco County, California",3422.0,1709.0,0.474,95156.0,3422.0,271.0,435.0,06,075,025100,06075025100,2015,0.4994155464640561,0.07919345412039742
"Census Tract 170, San Francisco County, California",3825.0,2865.0,0.4067,128921.0,3825.0,207.0,817.0,06,075,017000,06075017000,2015,0.7490196078431373,0.05411764705882353
"Census Tract 180, San Francisco County, California",3231.0,1356.0,0.4177,146667.0,2748.0,598.0,420.0,06,075,018000,06075018000,2015,0.41968430826369546,0.21761280931586607
"Census Tract 215, San Francisco County, California",5181.0,3754.0,0.4542,110500.0,5181.0,291.0,1173.0,06,075,021500,06075021500,2015,0.7245705462265972,0.0561667631731326
"Census Tract 228.03, San Francisco County, California",4832.0,1530.0,0.4332,96081.0,4802.0,611.0,945.0,06,075,022803,06075022803,2015,0.3166390728476821,0.12723865056226571
"Census Tract 166, San Francisco County, California",5468.0,3840.0,0.3886,103750.0,5468.0,732.0,1531.0,06,075,016600,06075016600,2015,0.7022677395757132,0.13386978785662035
"Census Tract 179.02, San Francisco County, California",3187.0,894.0,0.4893,40769.0,2942.0,1525.0,650.0,06,075,017902,06075017902,2015,0.2805145905240038,0.518354860639021
"Census Tract 214, San Francisco County, California",3697.0,2626.0,0.4623,142386.0,3697.0,120.0,797.0,06,075,021400,06075021400,2015,0.7103056532323505,0.032458750338111984
"Census Tract 217, San Francisco County, California",3975.0,2166.0,0.4808,102431.0,3975.0,449.0,724.0,06,075,021700,06075021700,2015,0.5449056603773584,0.1129559748427673
"Census Tract 228.02, San Francisco County, California",2355.0,801.0,0.5271,58594.0,1935.0,518.0,445.0,06,075,022802,06075022802,2015,0.3401273885350318,0.2677002583979328
"Census Tract 229.01, San Francisco County, California",5347.0,1378.0,0.4829,66111.0,5347.0,1114.0,1230.0,06,075,022901,06075022901,2015,0.25771460632130166,0.208341125864971
"Census Tract 229.02, San Francisco County, California",2547.0,980.0,0.4087,97241.0,2547.0,303.0,555.0,06,075,022902,06075022902,2015,0.3847663918335296,0.11896348645465253
"Census Tract 229.03, San Francisco County, California",3111.0,1019.0,0.4427,82656.0,3084.0,405.0,526.0,06,075,022903,06075022903,2015,0.327547412407586,0.13132295719844359
