amenity_category,n_tracts,geoid_max,max_score,geoid_min,min_score,geoid_median_closest,median_score_value
Commercial,19,06075040200,1.0467642696919353,06075012406,-1.009046712658196,06075025402,0.02436133131206869
Infrastructure,52,06075030700,1.018211298085786,06075016101,-1.0622533987286615,06075023103,-0.13084755152829597
Public Services,172,06075016700,1.2397979106051946,06075061101,-1.4201832478750671,06075021200,-0.03139920341624298
Recreational,102,06075012405,1.9052044237878882,06075061101,-1.425284494453865,06075032801,0.09634319594129791
