"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants"
"917","James Lang Fieldhouse & Bleachers","1016 Laguna St","San Francisco","94102","0759001","Own","49","Recreation And Parks","4,284","-122.42533582599998","37.78122560200006","5",
"1414","James Rolph Jr Clubhouse","1451 HAMPSHIRE ST","San Francisco","94110","4276014","Own","49","Recreation And Parks","2,730","-122.40664924199996","37.74997568200007","9",
"924","Japanese Pagoda","1610 Geary Blvd","San Francisco","94115","0700022","Own","49","Recreation And Parks","289","-122.42984262099998","37.78511398200004","5",
"3478","Japanese Pagoda","75 Hagiwara Tea Garden Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.47035465899995","37.77011686900005","7",
"926","Japanese Peace Pz Performance Space","1610 Geary Blvd","San Francisco","94115","0700022","Own","49","Recreation And Parks",,"-122.42987823399994","37.78520062500007","5",
"928","Japanese Tea Garden Entry Kiosk","75 Hagiwara Tea Garden Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","64","-122.47000825599997","37.76982409200008","7",
"927","Japanese Tea Garden (gardener shack)","75 Hagiwara Tea Garden Dr","San Francisco","94118","1263011","Own","49","Recreation And Parks","120","-122.46985810899997","37.77002467700004","7",
"929","Japanese Tea Garden Giftshop","75 Hagiwara Tea Garden Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","1,690","-122.46968514299999","37.77001860300004","7",
"930","Japanese Tea Garden Men's Bathroom","75 Hagiwara Tea Garden Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","258","-122.47019668099995","37.770076259000064","7",
"931","Japanese Tea Garden Women's Bathrm","75 Hagiwara Tea Garden Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46991392299998","37.77030733600003","7",
"932","Japanese Teahouse","75 Hagiwara Tea Garden Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","2,000","-122.470420349","37.76994780800004","7",
"938","Jefferson Square Bathrooms","997 Gough St","San Francisco","94109","0745001","Own","49","Recreation And Parks","325","-122.42548988399994","37.78154837300008","5",
"939","Jerry Garcia Amphitheatre","61 John F Shelley Dr","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.41739818899998","37.72055504600007","9",
"940","Jerry Garcia Amphitheatre Restroom","61 John F Shelley Dr","San Francisco","94112","6190066","Own","49","Recreation And Parks","900","-122.41690810799997","37.720889302000046","9",
"941","Joe Dimaggio Bathrooms","651 Lombard St","San Francisco","94133","0075001","Own","49","Recreation And Parks","288","-122.41212309099996","37.80278223800008","3",
"942","Joe Dimaggio Clubhouse","651 Lombard St","San Francisco","94133","0075001","Own","49","Recreation And Parks","3,813","-122.41212309099996","37.80278223800008","3",
"949","Jose Coronado Clubhouse","2498 Folsom St","San Francisco","94110","3611013","Own","49","Recreation And Parks","933","-122.41512752399996","37.757563263000065","9",
"951","Joseph Lee Rec Center","1395 Mendell St","San Francisco","94124","5310001","Own","49","Recreation And Parks","17,331","-122.38959952699997","37.73489373100006","10",
"906","J. P. Murphy Clubhouse","1960 09th Ave","San Francisco","94116","2126013","Own","49","Recreation And Parks","1,820","-122.46524647399997","37.75157433500004","7",
"954","Julius Kahn Clubhouse","3550 West Pacific Ave","San Francisco","94118","1300001","Lease","9","Non-City",,"-122.45419487899994","37.791085689000056","2","Recreation And Parks"
"958","Junipero Serra Clubhouse","300 Stonecrest Dr","San Francisco","94132","7237009","Own","49","Recreation And Parks","1,578","-122.47409187399995","37.72510858800007","7",
"962","Justin Herman Vaillancourt Fountain","2 Market St","San Francisco","94111","0233035","Own","49","Recreation And Parks",,"-122.39528152999998","37.79545531800005","3",
"969","Kelloch/Velasco Gazebo","100 Velasco Ave","San Francisco","94134","6361002","Own","49","Recreation And Parks",,"-122.41329579799998","37.70858567100004","10",
"970","Kelloch/Velasco Maintenance Shed","100 Velasco Ave","San Francisco","94134","6361002","Own","49","Recreation And Parks","48","-122.41295723899998","37.70825467000003",,
"971","Kezar Fieldhouse N","755 Stanyan St","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.45600697699996","37.767522574000054","5",
"2041","Kezar Fieldhouse S","755 Stanyan St","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.45601493499998","37.76624106100007","5",
"972","Kezar Pavilion","755 Stanyan St","San Francisco","94117","1263011","Own","49","Recreation And Parks","24,254","-122.45362952699998","37.767538459000036","5",
"973","Kezar Stadium","755 Stanyan St","San Francisco","94117","1263011","Own","49","Recreation And Parks","5,000","-122.45597946799995","37.76689179300007","5",
"974","Kezar Stadium Maintenance Facility","755 Stanyan St","San Francisco","94117","1263011","Own","49","Recreation And Parks","40,464","-122.45444687899999","37.767332354000075","5",
"3004","Lafayette maintenance facility","1925 Gough St","San Francisco","94115","0625003","Own","49","Recreation And Parks",,"-122.42738115199995","37.79183243400007","2",
"983","Lafayette Park Bathrooms","1925 Gough St","San Francisco","94115","0625003","Own","49","Recreation And Parks","592","-122.42811694999995","37.791706677000036","2",
"984","Lafayette Park Maintenance Shed","1925 Gough St","San Francisco","94109","0625003","Own","49","Recreation And Parks",,"-122.42738115199995","37.79183243400007","2",
"979","La Grande Pump Station/Tanks","Ina Ct & La Grande Ave","San Francisco","94112","6190066","Own","49","Recreation And Parks",,"-122.42317721699999","37.72356859900003","11",
"992","Lake Merced Boathouse","1 Harding Rd","San Francisco","94132","7283004","Own","49","Recreation And Parks","8,100","-122.49967527199999","37.72558906800003","7",
"2045","Lake Merced maintenance facility 1","991 Lake Merced Blvd","San Francisco","94132","7283004","Own","49","Recreation And Parks",,"-122.48643254299998","37.71700492900004","7",
"2046","Lake Merced maintenance facility 2","991 Lake Merced Blvd","San Francisco","94132","7283004","Own","49","Recreation And Parks",,"-122.48617064099994","37.71685036000008","7",
"994","Lake Merced Park Pump Station","991 Lake Merced Blvd","San Francisco","94132","7283004","Own","49","Recreation And Parks",,"-122.48578024699998","37.71633699900008","7",
"998","Lakeside Bathouse","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85434807499996","37.880072219000056",,
"1","Larsen Park Bathrooms","850 Vicente St","San Francisco","94116","2420001","Own","49","Recreation And Parks",,"-122.47615459699995","37.73958747800003","4",
"1000","Laurel Hill Clubhouse","301 Euclid Ave","San Francisco","94118","1068001","Own","49","Recreation And Parks","1,134","-122.45118102299995","37.783718573000044","2",
"1002","Leach Fields","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85613576899999","37.881269985000074",,
"3005","Lessing/Sears Maintenance Facility","10 Lessing St","San Francisco","94112","7160001","Own","49","Recreation And Parks",,"-122.45527610299996","37.708631068000045","11",
"3006","Lincoln Park Golf Cart Bldg","300 34th Ave","San Francisco","94121","1313028","Own","49","Recreation And Parks","1,920","-122.49832261499995","37.784258410000064","1",
"1011","Lincoln Park Golf Course Clubhouse","300 34th Ave","San Francisco","94121","1313028","Own","49","Recreation And Parks","2,000","-122.49432812099997","37.78226354100008","1",
"1013","Lincoln Park Maintenance Buildings","300 34th Ave","San Francisco","94121","1313028","Own","49","Recreation And Parks","1,125","-122.49832261499995","37.784258410000064","1",
"1014","Lincoln Park Pump Station","36th Ave & Clement St","San Francisco","94121","1313028","Own","49","Recreation And Parks","324","-122.49669138799999","37.78170641500003","1",
"1015","Lincoln Park Restrooms - 300 34th Ave","300 34th Ave","San Francisco","94121","1313028","Own","49","Recreation And Parks",,"-122.49832261499995","37.784258410000064","1",
"1016","Lincoln Park Restrooms - 32nd/Clement","32nd Ave & Clement St","San Francisco","94121","1313028","Own","49","Recreation And Parks",,"-122.49832261499995","37.784258410000064","1",
"1017","Lincoln Park Sm Maint Bldg","300 34th Ave","San Francisco","94121","1313028","Own","49","Recreation And Parks","684","-122.49832261499995","37.784258410000064","1",
"1018","Lincoln Park Tank","39th Ave & Clement St","San Francisco","94121","1313028","Own","49","Recreation And Parks",,"-122.49832261499995","37.784258410000064","1",
"3481","Lindley Meadow Corral","John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.49081428199997","37.77065319700006","4",
"1019","Little Hollywood Maint Facilities","400 Lathrop Ave","San Francisco","94134","4991081","Own","49","Recreation And Parks",,"-122.39828783299998","37.71027229400005","10",
"3483","Little Speedway Mdw Equestrian Ring","MIddle Drive West","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.49646705599997","37.76674054400007","4",
"1021","Lloyd Lake Pump Station","John F Kennedy Dr & Transverse Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","255","-122.48127821599996","37.77120213300003","1",
"1030","Louis Sutter Clubhouse","600 University St","San Francisco","94134","6190066","Own","49","Recreation And Parks","2,940","-122.41438610899996","37.72238434900004","9",
"1032","Lower Great Hwy Judah Bathrooms","1401 Great Hwy","San Francisco","94122","GRT  HWY","Own","49","Recreation And Parks","1,560","-122.50956014999997","37.76022757100003","4",
"1033","Lower Great Hwy Taraval Bathrooms","Great Hwy & Taraval St","San Francisco","94122","GRT  HWY","Own","49","Recreation And Parks","1,972","-122.50708415799994","37.74144460900004","4",
"1034","Lower Great Hwy Wawona Bathrooms","Great Hwy & Wawona St","San Francisco","94122","GRT  HWY","Own","49","Recreation And Parks",,"-122.50644929899994","37.73657958600006","4",
"1035","Lower Shang","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85613576899999","37.881269985000074",,
"1043","Main Head House","100 Conservatory Dr East","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.45951024599998","37.772896600000024","1",
"1049","Margaret S. Hayward Recreation Center","800 Golden Gate Ave","San Francisco","94102","0759001","Own","49","Recreation And Parks","1,257","-122.42687415299997","37.78065675900007","5",
"1054","Marina Green Bathrooms East","150 Marina Blvd","San Francisco","94123","0900003","Own","49","Recreation And Parks","500","-122.43453979699996","37.80646592100004","2",
"1055","Marina Green Bathrooms West","800 Marina Blvd","San Francisco","94123","0900003","Own","49","Recreation And Parks","500","-122.44743086299997","37.80584413200006","2",
"1056","Marina Green Shops/Restaurants","1 Yacht Rd","San Francisco","94123","0900003","Own","49","Recreation And Parks","1,000","-122.44565731699998","37.80700236100006","2",
"1059","Marini Plaza Garden Pond","600 Columbus Ave","San Francisco","94133","0102001","Own","49","Recreation And Parks",,"-122.41069183999997","37.80095578100003","3",
"1064","Martin Luther King Jr Pool","5701 03rd St","San Francisco","94124","5420001","Own","49","Recreation And Parks","23,851","-122.39372042599996","37.72553316700004","10",
"1065","Masonry Shop","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","483","-122.46237010299996","37.76866134900007","7",
"1066","Mather Bath House A","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85752439599997","37.88308764000004",,
"1067","Mather Bath House B","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85603588999999","37.88370370100006",,
"1068","Mather Bath House C","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85305408999994","37.88096186000007",,
"1069","Mather Bath House E","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85186267799997","37.88092411700006",,
"1070","Mather Birch Lake Pool Bath House","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85439485199998","37.879523205000055",,
"1071","Mather Bunkhouse","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85510896099998","37.88192392000008",,
"1072","Matthew Boxer Stadium","165 HAVELOCK ST","San Francisco","94112","3179011","Own","49","Recreation And Parks","2,281","-122.44503660099997","37.72610151200007","11",
"1074","Mccoppin Square Clubhouse","2354 24th Ave","San Francisco","94116","2351001","Own","49","Recreation And Parks","2,000","-122.48075886699996","37.74353836200004","4",
